Time	Tip Location
15:33:24	0.000;0.000;0.000
15:33:40	17752.680;9273.834;355.454
15:33:46	17752.572;9262.020;331.960
15:34:02	17752.865;9279.230;435.099
15:34:06	17752.817;9258.040;467.751
15:34:22	17752.574;9234.953;464.840
15:34:37	17753.209;9277.967;563.138
15:34:48	17752.612;9239.107;569.653
15:35:05	17752.884;9206.365;592.678
15:35:17	17762.560;9188.922;590.426
15:35:39	0.000;0.000;0.000
15:35:44	0.000;0.000;0.000
15:35:50	0.000;0.000;0.000
15:35:58	17763.454;9193.404;368.120
15:36:12	17765.778;9190.177;328.458
15:36:21	17888.359;9189.346;586.285
15:36:35	17889.149;9187.953;494.444
15:36:59	17887.188;9192.552;366.296
15:37:45	17763.151;9287.252;312.256
15:37:54	17763.019;9255.173;311.646
15:38:11	0.000;0.000;0.000
15:38:22	17763.395;9209.855;310.868
15:38:50	17890.982;9288.511;312.905
15:38:56	17889.903;9246.452;312.089
15:38:59	17891.631;9215.601;311.633
15:39:17	17889.332;9288.471;311.163
15:39:25	17889.916;9288.430;311.665
