Dummy Gripper

Upper two Slots for autoswitch
Aluminium Plate Face
Side of Gripper Body where pistons exist, No Plastic Jaw Side.

Probed At robotic Location:
14886.25
6303.96
1210.58
0.49641
0.49233
0.51699
-0.49387

Time	Tip Location
15:17:09	17471.494;8237.015;1204.717
15:17:09	17471.476;8237.016;1204.707
15:17:12	17484.950;8237.795;1204.422
15:17:16	17495.799;8238.103;1204.241
15:17:16	17495.808;8238.113;1204.243
15:17:17	17495.811;8238.106;1204.244
15:17:17	17495.816;8238.108;1204.244
15:17:17	17495.816;8238.108;1204.244
15:17:19	17508.074;8238.613;1204.004
15:17:19	17508.074;8238.613;1204.004
15:17:21	17528.341;8239.174;1203.684
15:17:23	17534.286;8239.238;1203.647
15:17:27	17535.746;8225.353;1203.241
15:17:27	17535.746;8225.353;1203.241
15:17:27	17535.783;8225.371;1203.236
15:17:28	17528.125;8225.310;1203.255
15:17:30	17521.908;8225.204;1203.305
15:17:30	17521.891;8225.185;1203.313
15:17:31	17516.395;8224.809;1203.503
15:17:32	17516.367;8224.804;1203.507
15:17:32	17515.762;8224.798;1203.515
15:17:32	17515.762;8224.798;1203.515
15:17:35	17498.259;8224.605;1203.628
15:17:35	17498.259;8224.605;1203.628
15:17:35	17498.259;8224.605;1203.628
15:17:35	17498.190;8224.592;1203.709
15:17:35	17498.142;8224.582;1203.716
15:17:37	17483.537;8223.626;1203.895
15:17:37	17483.537;8223.626;1203.895
15:17:37	17483.537;8223.626;1203.895
15:17:37	17483.537;8223.626;1203.895
15:17:37	17483.521;8223.638;1203.908
15:17:37	17483.508;8223.650;1203.918
15:17:39	17487.686;8223.733;1204.064
15:17:39	17487.684;8223.739;1204.063
15:17:40	17487.684;8223.739;1204.063
15:17:40	17487.684;8223.739;1204.063
15:17:40	17487.679;8223.741;1204.062
15:17:41	17489.564;8223.769;1204.033
15:17:41	17489.564;8223.769;1204.033
15:17:41	17489.564;8223.769;1204.030
15:17:41	17489.564;8223.769;1204.030
15:17:41	17489.564;8223.769;1204.030
15:17:41	17489.564;8223.769;1204.030
15:17:41	17489.577;8223.772;1204.027
15:17:41	17489.579;8223.776;1204.025
15:17:45	17538.679;8225.354;1203.300
15:17:45	17538.703;8225.384;1203.290
15:17:45	17538.703;8225.384;1203.290
15:17:45	17538.703;8225.384;1203.290
15:17:45	17538.703;8225.384;1203.290
15:18:15	17463.058;8253.614;1202.453
15:18:15	17463.058;8253.614;1202.453
15:18:15	17463.058;8253.614;1202.453
15:18:21	17463.595;8253.396;1207.447
15:18:24	17483.852;8254.905;1243.994
15:18:24	17483.859;8254.922;1243.987
15:18:27	17499.311;8255.460;1242.813
15:18:27	17499.295;8255.446;1242.819
15:18:29	17499.086;8255.655;1230.605
15:18:29	17499.086;8255.655;1230.605
15:18:29	17499.099;8255.657;1230.612
15:18:29	17499.099;8255.657;1230.612
15:18:29	17499.099;8255.657;1230.612
15:18:30	17499.099;8255.657;1230.612
15:18:30	17499.133;8255.692;1230.628
15:18:30	17499.112;8255.670;1230.624
15:18:30	17499.106;8255.670;1230.643
15:18:30	17499.106;8255.670;1230.643
15:18:30	17499.106;8255.670;1230.643
15:18:30	17499.106;8255.670;1230.643
15:18:30	17499.115;8255.689;1230.675
15:18:30	17499.115;8255.689;1230.675
15:18:30	17499.115;8255.689;1230.675
15:18:30	17499.115;8255.689;1230.675
15:18:32	17499.327;8255.827;1215.417
15:18:34	17504.516;8255.908;1228.579
15:18:37	17513.558;8256.032;1233.798
15:18:37	17513.558;8256.032;1233.798
15:18:39	17513.455;8255.832;1245.136
15:18:39	17513.455;8255.832;1245.136
15:18:42	17527.846;8256.106;1243.780
15:18:42	17527.846;8256.106;1243.780
15:18:42	17527.846;8256.106;1243.780
15:18:42	17527.846;8256.106;1243.780
15:18:42	17527.846;8256.106;1243.780
15:18:42	17527.831;8256.105;1243.775
15:18:42	17527.831;8256.105;1243.775
15:18:42	17527.825;8256.114;1243.776
15:18:44	17522.032;8256.175;1234.670
15:18:45	17522.032;8256.175;1234.670
15:18:45	17522.032;8256.175;1234.670
15:18:45	17522.033;8256.178;1234.653
15:18:47	17531.745;8256.428;1227.341
15:18:47	17531.745;8256.428;1227.341
15:18:47	17531.788;8256.418;1227.392
15:18:49	17531.882;8256.645;1215.723
15:18:49	17531.882;8256.645;1215.723
15:18:49	17531.882;8256.645;1215.723
15:18:49	17531.882;8256.645;1215.723
15:18:51	17531.606;8256.903;1208.779
15:18:51	17531.606;8256.903;1208.779
15:18:51	17531.606;8256.903;1208.779
15:18:51	17531.606;8256.903;1208.779
15:18:51	17531.611;8256.888;1208.791
15:18:51	17531.611;8256.888;1208.791
15:18:51	17531.611;8256.888;1208.791
15:18:51	17531.611;8256.888;1208.791
15:18:51	17531.611;8256.888;1208.791
15:18:52	17531.612;8256.899;1208.797
15:18:52	17531.612;8256.899;1208.797
15:18:52	17531.612;8256.899;1208.797
15:18:52	17531.612;8256.899;1208.797
15:18:52	17531.612;8256.899;1208.797
15:18:52	17531.608;8256.914;1208.802
15:18:52	17531.608;8256.914;1208.802
15:18:52	17531.608;8256.914;1208.802
15:18:52	17531.608;8256.914;1208.802
15:18:52	17531.608;8256.914;1208.802
15:18:52	17531.606;8256.923;1208.803
15:18:52	17531.606;8256.923;1208.803
15:18:52	17531.606;8256.923;1208.803
15:18:52	17531.606;8256.923;1208.803
15:18:52	17531.605;8256.926;1208.800
15:18:52	17531.655;8256.924;1209.804
15:18:52	17531.655;8256.924;1209.804
15:18:53	17531.655;8256.924;1209.804
15:18:53	17531.688;8256.920;1209.883
15:18:53	17531.688;8256.920;1209.883
15:18:53	17531.688;8256.920;1209.883
15:18:54	17532.792;8256.916;1210.849
15:18:54	17532.792;8256.916;1210.849
15:18:54	17532.792;8256.916;1210.849
15:18:54	17532.853;8256.916;1210.894
15:18:56	17539.349;8256.956;1207.926
15:19:13	17546.773;8253.367;1195.759
15:19:13	17546.773;8253.367;1195.759
15:19:14	17546.769;8253.301;1195.701
15:19:15	17546.779;8250.464;1195.065
15:19:15	17546.783;8250.455;1195.039
15:19:15	17546.783;8250.455;1195.039
15:19:15	17546.783;8250.455;1195.039
15:19:16	17546.790;8250.401;1194.967
15:19:16	17546.790;8250.401;1194.967
15:19:18	17546.827;8248.372;1190.168
15:19:18	17546.827;8248.372;1190.168
15:19:18	17546.826;8248.389;1190.167
15:19:22	17546.602;8257.873;1189.965
15:19:25	17546.990;8240.631;1190.464
15:19:25	17546.990;8240.631;1190.464
15:19:25	17547.018;8240.646;1190.437
15:19:25	17547.018;8240.646;1190.437
15:19:25	17547.018;8240.646;1190.437
15:19:25	17547.025;8240.669;1190.415
15:19:26	17547.016;8240.670;1190.366
15:19:26	17547.016;8240.670;1190.366
15:19:26	17547.012;8240.668;1190.353
15:19:28	17547.109;8232.927;1196.043
15:19:29	17547.117;8232.926;1195.998
15:19:29	17547.117;8232.926;1195.998
15:19:29	17547.137;8232.122;1194.877
15:19:29	17547.143;8232.149;1194.849
15:19:30	17547.299;8230.387;1194.183
15:19:33	17547.379;8221.426;1189.528
15:19:33	17547.379;8221.426;1189.528
15:19:34	17547.554;8221.398;1189.561
15:19:34	17547.554;8221.398;1189.561
15:19:34	17547.554;8221.392;1189.564
15:19:36	17547.571;8222.029;1195.636
15:19:36	17547.571;8222.029;1195.636
15:19:36	17547.576;8222.014;1195.642
15:19:40	17546.602;8244.151;1169.728
15:19:40	17546.602;8244.151;1169.728
15:19:41	17546.585;8244.688;1169.753
15:19:41	17546.579;8244.686;1169.762
15:19:41	17546.579;8244.686;1169.762
15:19:41	17546.579;8244.686;1169.762
15:19:41	17546.579;8244.686;1169.762
15:19:41	17546.579;8244.686;1169.762
15:19:42	17546.579;8244.687;1169.767
15:19:42	17546.580;8244.695;1169.771
15:19:42	17546.580;8244.695;1169.771
15:19:42	17546.578;8244.686;1169.782
15:19:42	17546.579;8244.695;1169.787
15:19:42	17546.579;8244.695;1169.787
15:19:42	17546.579;8244.695;1169.787
15:19:42	17546.579;8244.695;1169.787
15:19:42	17546.579;8244.695;1169.787
15:19:43	17546.581;8244.698;1169.790
15:19:43	17546.581;8244.698;1169.790
15:19:43	17546.581;8244.698;1169.790
15:19:43	17546.581;8244.698;1169.790
15:19:43	17546.582;8244.700;1169.793
15:19:43	17546.582;8244.700;1169.793
15:19:43	17546.582;8244.700;1169.793
15:19:43	17546.582;8244.700;1169.793
15:19:43	17546.582;8244.700;1169.793
15:19:43	17546.583;8244.701;1169.796
15:19:44	17546.583;8244.700;1169.806
15:19:46	17546.578;8239.443;1167.943
15:19:51	17546.909;8227.229;1166.409
15:19:52	17546.908;8227.296;1166.404
15:19:52	17546.905;8227.305;1166.404
15:19:55	17546.880;8226.881;1163.957
15:19:55	17546.880;8226.881;1163.957
15:19:55	17546.882;8226.952;1163.880
