Things probed: 

Dummy Clamp Prob Points on Beam
Dummy Clamp Prob Points on Storage
Dummy Clamp Storage Pad
Dummy Clamp Beam Holes and srfs


Time	Tip Location
12:25:07	17796.650;6338.160;1563.914
12:25:07	17796.650;6338.160;1563.914
12:25:07	17796.650;6338.160;1563.914
12:25:07	17796.657;6338.155;1563.914
12:25:07	17796.657;6338.155;1563.914
12:25:07	17796.657;6338.155;1563.914
12:25:09	17796.678;6333.744;1563.913
12:25:09	17796.684;6333.739;1563.913
12:25:09	17796.684;6333.739;1563.913
12:25:11	17796.735;6328.528;1563.911
12:25:11	17796.735;6328.528;1563.911
12:25:11	17796.735;6328.528;1563.911
12:25:11	17796.748;6327.626;1563.907
12:25:11	17796.748;6327.626;1563.907
12:25:11	17796.748;6327.626;1563.907
12:25:12	17796.757;6325.753;1563.904
12:25:14	17796.760;6322.092;1563.904
12:25:14	17796.760;6322.048;1563.905
12:25:14	17796.760;6322.048;1563.905
12:25:14	17796.760;6322.048;1563.905
12:25:14	17796.759;6322.033;1563.907
12:25:14	17796.735;6322.028;1563.908
12:25:14	17796.735;6322.028;1563.908
12:25:16	17796.766;6318.731;1563.903
12:25:16	17796.766;6318.731;1563.903
12:25:16	17796.766;6318.731;1563.903
12:25:18	17796.769;6315.953;1563.898
12:25:18	17796.770;6315.904;1563.894
12:25:20	17796.783;6310.052;1563.891
12:25:21	17796.785;6310.040;1563.890
12:25:23	17796.790;6303.890;1563.889
12:25:23	17796.792;6303.790;1563.889
12:25:24	17796.796;6299.788;1563.891
12:25:25	17796.798;6299.743;1563.891
12:25:28	17796.783;6292.165;1563.890
12:25:28	17796.783;6292.187;1563.889
12:25:28	17796.783;6292.187;1563.889
12:25:28	17796.783;6292.187;1563.889
12:25:28	17796.783;6292.187;1563.889
12:25:28	17796.783;6292.207;1563.889
12:25:29	17796.783;6292.207;1563.889
12:25:30	17796.784;6288.448;1563.889
12:25:31	17796.783;6288.432;1563.889
12:25:33	17796.788;6283.160;1563.891
12:25:33	17796.788;6283.160;1563.891
12:25:33	17796.786;6283.144;1563.891
12:25:35	17796.793;6279.853;1563.904
12:25:36	17796.798;6279.844;1563.902
12:25:36	17796.798;6279.844;1563.902
12:25:36	17796.793;6279.823;1563.889
12:25:39	17810.814;6282.579;1563.862
12:25:40	17810.793;6284.501;1563.876
12:25:41	17810.841;6285.825;1563.872
12:25:42	17810.925;6285.882;1563.864
12:25:42	17810.925;6285.882;1563.864
12:25:42	17810.953;6289.177;1563.861
12:25:42	17810.953;6289.177;1563.861
12:25:42	17810.953;6289.177;1563.861
12:25:42	17810.953;6289.177;1563.861
12:25:42	17810.966;6289.173;1563.859
12:25:43	17810.978;6289.191;1563.857
12:25:44	17810.990;6289.238;1563.858
12:25:44	17811.076;6291.250;1563.854
12:25:44	17811.076;6291.250;1563.854
12:25:45	17811.070;6291.797;1563.846
12:25:45	17811.067;6291.793;1563.845
12:25:50	17811.047;6296.186;1563.817
12:25:50	17811.047;6296.186;1563.817
12:25:50	17811.047;6296.186;1563.817
12:25:50	17811.047;6296.186;1563.817
12:25:50	17811.046;6296.208;1563.817
12:25:51	17811.039;6298.941;1563.816
12:25:51	17811.040;6298.965;1563.816
12:25:52	17811.040;6298.965;1563.816
12:25:52	17811.037;6298.940;1563.815
12:25:54	17811.030;6301.215;1563.816
12:25:56	17811.030;6302.822;1563.814
12:25:58	17811.011;6305.213;1563.817
12:25:59	17810.984;6305.304;1563.817
12:25:59	17810.985;6305.313;1563.818
12:26:11	17810.753;6309.727;1563.859
12:26:11	17810.753;6309.727;1563.859
12:26:11	17810.753;6309.727;1563.859
12:26:12	17810.659;6315.538;1563.857
12:26:12	17810.659;6315.538;1563.857
12:26:14	17810.655;6317.527;1563.856
12:26:16	17810.631;6319.527;1563.858
12:26:16	17810.631;6319.527;1563.858
12:26:29	17810.640;6329.748;1563.869
12:26:32	17810.773;6340.644;1563.879
12:26:32	17810.773;6340.644;1563.879
12:26:35	17810.718;6344.386;1563.888
12:26:42	17796.723;6341.184;1563.882
12:26:42	17796.722;6341.220;1563.881
12:26:44	17796.728;6338.625;1563.876
12:26:44	17796.752;6338.540;1563.874
12:27:02	17778.408;6287.478;1601.127
12:27:04	17778.566;6290.223;1597.101
12:27:09	17778.986;6283.282;1582.923
12:27:09	17778.986;6283.282;1582.923
12:27:16	17778.531;6272.973;1560.021
12:27:16	17778.531;6272.973;1560.021
12:27:24	17779.168;6336.872;1603.199
12:27:25	17779.142;6336.933;1603.188
12:27:25	17779.142;6336.933;1603.188
12:27:27	17779.041;6338.548;1594.176
12:27:27	17779.037;6338.531;1594.199
12:27:27	17779.040;6338.518;1594.223
12:27:35	17779.184;6346.348;1585.680
12:27:35	17779.184;6346.348;1585.680
12:27:36	17779.167;6346.316;1585.685
12:27:36	17779.192;6346.326;1585.682
12:27:36	17779.189;6346.314;1585.684
12:27:39	17779.221;6343.999;1579.694
12:27:39	17779.221;6343.999;1579.694
12:27:39	17779.228;6344.012;1579.682
12:27:39	17779.228;6344.012;1579.682
12:27:39	17779.230;6343.985;1579.672
12:27:39	17779.230;6343.985;1579.672
12:27:40	17779.230;6343.985;1579.672
12:27:42	17779.262;6343.924;1575.448
12:27:42	17779.262;6343.924;1575.448
12:27:42	17779.237;6343.934;1575.491
12:27:51	17779.305;6346.068;1568.530
12:27:51	17779.305;6346.068;1568.530
12:27:51	17779.310;6346.137;1567.989
12:28:01	17779.454;6314.126;1592.494
12:28:05	17779.495;6305.875;1601.729
12:28:06	17779.506;6305.711;1601.070
12:28:08	17779.532;6299.473;1589.230
12:28:08	17779.536;6299.508;1589.266
12:28:08	17779.536;6299.508;1589.266
12:28:08	17779.540;6299.530;1589.303
12:28:08	17779.540;6299.530;1589.303
12:28:08	17779.541;6299.547;1589.320
12:28:13	17779.315;6273.187;1560.942
12:28:23	17779.583;6350.888;1566.016
12:28:24	17779.583;6350.888;1566.016
12:28:24	17779.597;6350.907;1565.995
12:28:24	17779.597;6350.907;1565.995
12:28:24	17779.597;6350.907;1565.995
12:28:24	17779.597;6350.907;1565.995
12:28:24	17779.597;6350.907;1565.995
12:28:24	17779.603;6350.923;1565.979
12:28:24	17779.607;6350.930;1565.976
