Robot location
20872.27
2597.80
950.93
0.64236
0.16520
-0.24574
0.70689

Probed Location:
Quick Changer Robot Side (no tool attached):
Steel Inner Ring along cone
Aluminium Outer Ring flat area
Aluminium Plate that connects between flange Flat area facing the same direction as above.

Time	Tip Location
12:49:40	23490.622;4640.233;998.539
12:49:40	23490.622;4640.233;998.539
12:50:00	23481.284;4641.296;998.439
12:50:02	23481.333;4641.296;998.449
12:50:22	23462.420;4635.556;992.495
12:50:32	23453.829;4624.798;984.465
12:50:44	23453.090;4613.125;976.428
12:50:52	23457.464;4600.126;968.121
12:51:01	23471.541;4592.185;963.996
12:51:09	23484.925;4589.442;963.697
12:51:55	23504.019;4595.134;969.472
12:52:03	23503.107;4594.360;968.678
12:52:06	23513.584;4599.016;985.704
12:52:14	23513.980;4618.579;986.307
12:52:23	23509.887;4630.790;993.442
12:52:31	23491.881;4639.919;998.470
12:52:55	23472.585;4657.352;1007.944
12:53:02	23513.715;4649.833;1007.028
12:53:08	23435.973;4622.876;981.136
12:53:15	23532.546;4608.006;980.744
12:53:19	23463.701;4597.797;976.261
12:53:22	23438.241;4602.855;968.194
12:53:38	23495.544;4594.618;968.195
12:53:46	23494.976;4573.952;954.083
12:53:49	23468.362;4575.762;954.834
12:54:34	23460.114;4578.150;953.389
12:54:37	23462.980;4576.972;952.906
12:54:51	23475.278;4576.769;953.993
12:55:51	23444.646;4586.343;914.595
12:56:00	23463.759;4585.238;915.619
12:56:36	23540.806;4589.268;926.607
12:57:01	23566.700;4590.104;929.959
12:57:17	23555.784;4596.906;933.428
12:57:32	23538.538;4602.844;935.572
