Quick changer probe at:

20872.67
2596.27
948.46
0.64239
0.16521
-0.24570
0.70687

Time	Tip Location
21:08:52	23494.143;4637.002;995.489
21:09:01	23484.775;4638.237;995.971
21:09:18	23479.971;4638.562;995.605
21:09:28	23508.037;4627.102;990.315
21:09:38	23513.372;4616.726;983.679
21:10:18	23504.545;4594.326;967.732
21:10:30	23502.591;4592.852;966.634
21:10:54	23485.180;4587.765;961.408
21:11:40	23471.869;4589.948;961.469
21:11:48	23456.780;4600.279;966.968
21:12:01	23451.676;4610.870;973.557
21:12:11	23461.339;4634.064;990.234
21:12:17	23479.638;4639.902;996.086
21:12:22	23492.771;4638.038;996.006
21:12:30	23480.983;4604.296;992.952
