Probed the tool on robot

Time	Tip Location
18:21:38	17890.641;7016.293;1485.802
18:21:39	17890.586;7018.934;1485.826
18:21:39	17890.594;7018.984;1485.825
18:21:39	17890.594;7018.984;1485.825
18:21:40	17890.604;7019.046;1485.822
18:21:40	17890.604;7019.046;1485.822
18:21:40	17890.604;7019.046;1485.822
18:21:40	17890.604;7019.046;1485.822
18:21:40	17890.620;7019.031;1485.812
18:21:41	17890.802;7025.109;1485.734
18:21:41	17890.802;7025.109;1485.734
18:21:42	17890.796;7025.144;1485.733
18:21:42	17890.802;7027.044;1485.733
18:21:42	17890.802;7027.044;1485.733
18:21:42	17890.806;7027.124;1485.731
18:21:43	17890.791;7028.755;1485.743
18:21:43	17890.791;7028.755;1485.743
18:21:44	17890.776;7030.966;1485.753
18:21:44	17890.776;7030.966;1485.753
18:21:44	17890.776;7030.966;1485.753
18:21:44	17890.771;7031.012;1485.757
18:21:45	17890.770;7031.007;1485.757
18:21:45	17890.770;7031.007;1485.757
18:21:46	17890.774;7033.203;1485.761
18:21:46	17890.774;7033.203;1485.761
18:21:46	17890.774;7033.272;1485.763
18:21:47	17890.033;7036.187;1485.805
18:21:48	17890.720;7039.835;1485.813
18:21:48	17890.720;7039.835;1485.813
18:21:48	17890.750;7039.808;1485.812
18:21:48	17890.750;7039.808;1485.812
18:21:48	17890.777;7039.834;1485.812
18:21:48	17890.777;7039.834;1485.812
18:21:48	17890.795;7039.823;1485.812
18:21:48	17890.795;7039.823;1485.812
18:21:52	17890.200;7054.903;1486.321
18:21:52	17890.200;7054.903;1486.321
18:21:52	17890.200;7054.903;1486.321
18:21:52	17890.200;7054.903;1486.321
18:21:53	17890.204;7054.934;1486.320
18:21:57	17890.066;7060.224;1486.422
18:22:00	17890.371;7062.972;1486.255
18:22:08	17890.580;7064.256;1486.201
18:22:10	17890.599;7067.437;1485.946
18:22:11	17890.584;7067.422;1485.952
18:22:11	17890.585;7067.392;1485.951
18:22:15	17890.526;7074.919;1485.960
18:22:15	17890.531;7074.942;1485.955
18:22:18	17890.551;7075.679;1485.964
18:22:18	17890.551;7075.679;1485.964
18:22:19	17890.553;7075.670;1485.963
18:22:19	17890.553;7075.670;1485.963
18:22:32	17904.428;7013.233;1485.803
18:22:34	17903.292;7016.997;1485.837
18:22:34	17903.292;7016.997;1485.837
18:22:35	17903.388;7016.870;1485.855
18:22:35	17903.388;7016.870;1485.855
18:22:35	17903.356;7016.909;1485.865
18:22:35	17903.356;7016.909;1485.865
18:22:35	17903.356;7016.909;1485.865
18:22:35	17903.334;7016.920;1485.874
18:22:35	17903.307;7016.953;1485.883
18:22:35	17903.307;7016.953;1485.883
18:22:35	17903.307;7016.953;1485.883
18:22:35	17903.278;7016.989;1485.892
18:22:35	17903.281;7017.006;1485.899
18:22:36	17903.361;7018.957;1486.129
18:22:39	17903.936;7022.481;1486.081
18:22:40	17903.975;7022.460;1486.069
18:22:40	17904.625;7022.352;1485.948
18:22:40	17904.784;7022.276;1485.940
18:22:44	17904.851;7027.134;1485.743
18:22:44	17904.851;7027.119;1485.744
18:22:46	17904.855;7027.110;1485.749
18:22:46	17904.860;7029.427;1485.753
18:22:47	17904.860;7029.427;1485.753
18:22:47	17904.865;7030.753;1485.757
18:22:47	17904.865;7030.753;1485.757
18:22:48	17904.865;7030.783;1485.758
18:22:49	17904.867;7035.799;1485.758
18:22:50	17904.872;7035.811;1485.755
18:22:50	17904.872;7035.811;1485.755
18:22:51	17904.842;7037.297;1485.776
18:22:57	17904.211;7039.868;1485.771
18:23:04	17904.444;7042.062;1485.913
18:23:04	17904.444;7042.062;1485.913
18:23:04	17904.463;7042.024;1485.913
18:23:04	17904.463;7042.024;1485.913
18:23:04	17904.463;7042.024;1485.913
18:23:04	17904.473;7041.992;1485.907
18:23:06	17904.597;7041.566;1485.900
18:23:07	17904.614;7043.234;1485.908
18:23:08	17904.591;7044.397;1485.914
18:23:08	17904.586;7044.452;1485.914
18:23:09	17904.162;7045.938;1485.935
18:23:11	17904.393;7048.979;1486.004
18:23:12	17904.376;7048.911;1486.010
18:23:12	17904.376;7048.911;1486.010
18:23:12	17904.380;7048.913;1486.011
18:23:12	17904.380;7048.913;1486.011
18:23:13	17904.380;7048.913;1486.011
18:23:13	17904.395;7052.652;1486.009
18:23:13	17904.400;7052.702;1486.007
18:23:15	17904.417;7055.365;1486.007
18:23:16	17904.427;7057.106;1486.014
18:23:17	17904.429;7057.111;1486.014
18:23:17	17904.429;7057.111;1486.014
18:23:19	17904.444;7059.929;1486.017
18:23:21	17904.453;7062.819;1486.017
18:23:23	17904.456;7065.310;1486.020
18:23:23	17904.456;7065.310;1486.020
18:23:23	17904.456;7065.310;1486.020
18:23:23	17904.456;7065.310;1486.020
18:23:24	17904.458;7065.323;1486.020
18:23:24	17904.459;7065.306;1486.020
18:23:31	17904.280;7071.979;1486.138
18:23:31	17904.280;7071.979;1486.138
18:23:32	17904.307;7071.505;1486.103
18:23:33	17904.365;7076.274;1486.084
18:23:33	17904.333;7076.261;1486.100
18:23:33	17904.333;7076.261;1486.100
18:23:38	17873.170;7003.487;1480.803
18:23:39	17873.118;7003.538;1480.820
18:23:42	17873.033;7004.464;1487.438
18:23:42	17873.033;7004.464;1487.438
18:23:42	17873.025;7003.629;1488.325
18:23:46	17872.839;7014.349;1502.999
18:23:46	17872.821;7014.350;1503.042
18:23:49	17872.751;7014.839;1509.725
18:23:50	17872.752;7014.760;1510.776
18:23:50	17872.752;7014.760;1510.776
18:23:50	17872.754;7014.723;1510.763
18:23:54	17872.279;7019.858;1516.675
18:23:54	17872.296;7019.756;1516.577
18:23:54	17872.296;7019.756;1516.577
18:23:55	17872.334;7019.578;1516.349
18:24:00	17872.840;7037.390;1519.456
18:24:00	17872.837;7037.398;1519.441
18:24:00	17872.837;7037.398;1519.441
18:24:00	17872.837;7037.398;1519.441
18:24:04	17872.925;7040.840;1509.564
18:24:06	17872.909;7038.181;1508.779
18:24:17	17872.636;7040.896;1496.666
18:24:22	17872.572;7051.671;1491.392
18:24:22	17872.572;7051.671;1491.392
18:24:22	17872.573;7051.669;1491.400
18:24:22	17872.573;7051.669;1491.400
18:24:22	17872.573;7051.669;1491.400
18:24:23	17872.581;7051.667;1491.413
18:24:27	17872.728;7074.146;1486.736
18:24:29	17872.765;7072.210;1486.806
18:24:32	17872.825;7072.183;1491.579
18:24:32	17872.825;7072.183;1491.579
18:24:32	17872.822;7072.175;1491.557
18:24:33	17872.822;7072.175;1491.557
18:24:33	17872.822;7072.162;1491.519
18:24:33	17872.825;7072.166;1491.483
18:24:38	17872.906;7077.190;1504.628
18:24:38	17872.901;7077.176;1504.640
18:24:38	17872.907;7077.180;1504.643
18:24:41	17872.813;7074.351;1511.775
18:24:41	17872.813;7074.351;1511.775
18:24:41	17872.813;7074.351;1511.775
18:24:41	17872.807;7074.367;1511.766
18:24:41	17872.807;7074.367;1511.766
18:24:42	17872.807;7074.367;1511.766
18:24:43	17872.882;7074.513;1517.409
18:24:52	17863.249;7003.475;1524.896
18:24:52	17863.249;7003.475;1524.896
18:24:52	17863.261;7003.496;1524.899
18:24:53	17863.261;7003.496;1524.899
18:24:53	17863.261;7003.496;1524.899
18:24:53	17863.269;7003.493;1524.892
18:24:53	17863.269;7003.493;1524.892
18:24:53	17863.269;7003.493;1524.892
18:24:53	17863.269;7003.493;1524.892
18:24:53	17863.269;7003.493;1524.892
18:24:53	17863.279;7003.477;1524.885
18:24:54	17863.335;7003.479;1522.758
18:24:55	17863.345;7003.482;1522.752
18:24:56	17862.952;7003.495;1519.308
18:24:56	17862.952;7003.495;1519.308
